Titre_poste,Lieu,Type_contrat,Date_publication,secteur,competences,Type_contrat_regroupe
Agent d’accueil – Standardiste,"Dakar, Sénégal",CDD,,Accueil-Reception,"Accueil physique, gestion d’appels, communication",CDD
Stagiaire Assistant(e) Administratif(e),"Point E, Dakar, Sénégal",Prestation/Stage,,Accueil-Reception,"Organisation, rédaction, bureautique, planification",Prestation/Stage
(03) Réceptionnistes,"Dakar, Sénégal",CDD,,Accueil-Reception,"Accueil physique, gestion d’appels, communication",CDD
Stage d’adaptation / Stage académique ou scolaire – Non rémunéré,"LIberté 6 Extension VDN, Dakar, Sénégal",Stage,,Accueil-Reception,"Accueil physique, gestion d’appels, communication",Stage
Standardiste expérimenté(e) chargé(e) de la clientèle,"LIberté 6 Extension, VDN, Dakar, Sénégal",CDD,,Accueil-Reception,"Accueil physique, gestion d’appels, communication",CDD
Coach Bien-être / Yoga & Relaxation (Freelance),"Dakar, Sénégal",CDD/Freelance,,Accueil-Reception,"Accueil physique, gestion d’appels, communication",CDD/Freelance
Responsable Technique,"Thiès, Sénégal",CDI,,Administration,Non spécifié,CDI
Consultants Conseiller en Développement Commercial et Renforcement des Capacités,"Dakar, Sénégal",CDD,,Administration,Non spécifié,CDD
Assistant.e Administratif.ve,"Sacré cœur 2, Dakar, Sénégal",CDD,,Administration,"Organisation, rédaction, bureautique, planification",CDD
Assistant(e) de direction,Sénégal,Stage,,Administration,"Organisation, rédaction, bureautique, planification",Stage
Stage d’adaptation/ Stage académique ou scolaire – Non rémunéré,"LIberté 6 Extension VDN, Dakar, Sénégal",Stage,,Administration,"Apprentissage, observation, assistance aux tâches",Stage
Assistant(e) Achat Bilingue,"Mbour, Sindia",CDD,,Administration,"Organisation, rédaction, bureautique, planification",CDD
Responsable administratif ressources humaines,"Dakar, Sénégal",CDD,,Administration,Non spécifié,CDD
SWEDD Director,"Dakar, Sénégal",CDD,,Administration,Non spécifié,CDD
Gestionnaire de projet,"Dakar, Sénégal",CDI,,Administration,Non spécifié,CDI
Stage – comptable/assistante de direction,"Dakar, Sénégal",Stage,,Administration,"Organisation, rédaction, bureautique, planification",Stage
Consultant – Assistant(e) de direction expérimenté(e),"Dakar, Sénégal",Freelance/Prestation,,Administration,"Organisation, rédaction, bureautique, planification",Freelance/Prestation
Chauffeur yango,"Dalifort, Dakar, Sénégal",Freelance,,Administration,Non spécifié,Freelance
Consultants Conseiller en Développement Commercial et Renforcement des Capacités,"Dakar, Sénégal",CDD,,Agriculture&Agroalimentaire,Non spécifié,CDD
Gestionnaire / Lead SMI (Système de Management Intégré),Richard Toll,CDI,,Agriculture&Agroalimentaire,Non spécifié,CDI
Responsable Développement Commercial,"Dakar, Sénégal",CDI,,Agriculture&Agroalimentaire,Non spécifié,CDI
Technicien (ne) Agricole,"Bayakh, Sénégal",CDD,,Agriculture&Agroalimentaire,Non spécifié,CDD
Responsable de petite ferme polyvalente,"Rao, Saint-Louis? Sénégal",Prestation de Services,,Agriculture&Agroalimentaire,Non spécifié,Prestation de Services
Assistant(e) de direction,Sénégal,Stage,,Archives-Documentation,"Organisation, rédaction, bureautique, planification",Stage
Equipe comptable et contrôle de gestion,"Dakar, Sénégal",CDD,,Audit-Comptabilité,Non spécifié,CDD
Stagiaire Comptable,"Mbacké, Diourbel, Sénégal",Stage,,Audit-Comptabilité,"Apprentissage, soutien administratif, communication",Stage
Chef comptable,"Dakar, Sénégal",CDI,,Audit-Comptabilité,Non spécifié,CDI
Agent administratif et comptable,Sénégal,Stage,,Audit-Comptabilité,Non spécifié,Stage
Reconciliation Officer,"Dakar, Sénégal",CDD,,Audit-Comptabilité,Non spécifié,CDD
Stage – comptable/assistante de direction,"Dakar, Sénégal",Stage,,Audit-Comptabilité,"Organisation, rédaction, bureautique, planification",Stage
Formateur(trice) en Comptabilité & Finance,"Dakar, Sénégal",CDD/Freelance,,Audit-Comptabilité,Non spécifié,CDD/Freelance
10 jeunes diplômés en comptabilité,"Dakar, Sénégal",CDD,,Audit-Comptabilité,Non spécifié,CDD
Stagiaire Assistant(e) Administratif(e),"Point E, Dakar, Sénégal",Prestation/Stage,,Banque-Finance-Assurance,"Organisation, rédaction, bureautique, planification",Prestation/Stage
"Assistant Chef de Projet (Informatique, Organisation & Banque)","Dakar, Sénégal",CDD,,Banque-Finance-Assurance,"Organisation, rédaction, bureautique, planification",CDD
Consultants Fonds Catalyseur et Outils d’Investissement,"Dakar, Sénégal",CDD,,Banque-Finance-Assurance,Non spécifié,CDD
Finance Manager,"Dakar, Sénégal",CDD,,Banque-Finance-Assurance,Non spécifié,CDD
Conseillers commerciaux en assurances,"Dakar, Sénégal",CDI/CDD,,Banque-Finance-Assurance,Non spécifié,CDI/CDD
Assistant de direction,"Dakar, Sénégal",CDI/CDD,,Banque-Finance-Assurance,"Organisation, rédaction, bureautique, planification",CDI/CDD
National Finance Officer,"Dakar, Sénégal",CDI/CDD,,Banque-Finance-Assurance,Non spécifié,CDI/CDD
Stagiaire Comptable,"Mbacké, Diourbel, Sénégal",Stage,,Banque-Finance-Assurance,"Apprentissage, soutien administratif, communication",Stage
Agent administratif et comptable,Sénégal,Stage,,Banque-Finance-Assurance,Non spécifié,Stage
Senior Investment Officer,"Dakar, Sénégal",CDI/CDD,,Banque-Finance-Assurance,Non spécifié,CDI/CDD
Reconciliation Officer,"Dakar, Sénégal",CDD,,Banque-Finance-Assurance,Non spécifié,CDD
Commercial(e) en Assurances,Sénégal,CDD,,Banque-Finance-Assurance,Non spécifié,CDD
Chargé(e) des Opérations Trade Finance (Mission Intérimaire – Remplacement Congé Maternité).,"Dakar, Sénégal",CDD,,Banque-Finance-Assurance,Non spécifié,CDD
Responsable d’Investissements,"Dakar, Sénégal",CDD,,Banque-Finance-Assurance,Non spécifié,CDD
20 vendeurs Energie,"Dakar, Sénégal",CDI,,CentreDAppels,Non spécifié,CDI
Conseiller Clientèle,Dakar Fann,CDD,,CentreDAppels,Non spécifié,CDD
